materials,property,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9
sample1,1.74279282,1.0456,-7.3217,5.5662,-1.7029,1.9316,7.2691,0.1376,0.0189,0.2566
sample2,1.699505045,1.077,-7.3562,5.0455,-1.6011,1.7222,6.6466,0.1505,0.0226,0.2231
sample3,1.787838447,0.9616,-7.2419,5.5672,-1.4893,2.039,7.0566,0.1417,0.0201,0.2946
sample4,1.678043473,1.0196,-7.351,4.9127,-1.5087,1.702,6.4214,0.1557,0.0243,0.2256
sample5,1.732670207,1.1993,-7.334,5.5444,-1.6682,1.9381,7.2126,0.1386,0.0192,0.2604
sample6,1.763593157,1.1906,-7.3238,5.3717,-1.6778,1.8469,7.0495,0.1419,0.0201,0.2419
sample7,1.704590842,1.0811,-7.3538,5.0147,-1.6205,1.6971,6.6352,0.1507,0.0227,0.217
sample8,1.79913931,0.5363,-7.409,5.5173,-1.4486,2.0344,6.9659,0.1436,0.0206,0.2971
sample9,1.755878746,1.0242,-7.3202,5.5534,-1.7195,1.9169,7.2729,0.1375,0.0189,0.2526
sample10,1.744493528,0.8764,-7.222,5.5654,-1.4426,2.0614,7.008,0.1427,0.0204,0.3032
sample11,1.740066246,1.0786,-7.3258,5.5322,-1.6147,1.9587,7.1469,0.1399,0.0196,0.2684
sample12,1.670013412,1.0615,-7.353,4.8905,-1.5562,1.6671,6.4467,0.1551,0.0241,0.2156
sample13,1.721034645,1.1964,-7.3481,5.0522,-1.6858,1.6832,6.7381,0.1484,0.022,0.2102
sample14,1.758265179,1.0614,-7.3427,5.5357,-1.691,1.9223,7.2267,0.1384,0.0191,0.2557
sample15,1.318892085,-0.1217,-7.371,6.0014,-0.1768,2.9123,6.1782,0.1619,0.0262,0.6864
sample16,1.537809912,1.0867,-7.414,3.8229,-1.6047,1.1091,5.4276,0.1842,0.0339,0.1133
sample17,1.712773287,1.1068,-7.3407,4.9639,-1.5889,1.6875,6.5529,0.1526,0.0233,0.2173
sample18,1.529257393,0.9858,-7.4224,3.8311,-1.4763,1.1774,5.3074,0.1884,0.0355,0.1306
sample19,1.52941794,0.9859,-7.4218,3.8307,-1.4763,1.1772,5.307,0.1884,0.0355,0.1306
